"c1","c2","text"
"39824470","3/10/2018 ","??These conversations, every time after one of these shootings happen, are always way too temporary. I am determined; the kids from this school are determined. We are not going to let that happen this time.??"
"398331179","3/10/2018 ","The Second Amendment Does Not Transcend All Others"
"4149952280","3/10/2018 ","The newest gun control figureheads c/o student survivors from Parkland are getting something wrong in their narratives of them vs. the world. The Bored Observer discusses the issue. Watch here:"
"4167267130","3/10/2018 ","_kasky"
"41877043","3/10/2018 ","Since  McConnell of Kentucky refuses to take up common sense  measures in the US Senate, perhaps it??s time for some economic hardball. Boycott products from and tourism to Kentucky until its people get results from their Senator."
"4201205487","3/10/2018 ","Nope not tired of your  tweets"
"4202710793","3/10/2018 ","And what are you anti-gunners going to tell her?"
"421269986","3/10/2018 ","A 70 year old man must have been playing violent  in 1965. Or maybe that's not why that happens, and we have fucked up guns on the market now. Joan Didion ""Some Dreamers Of The Golden Dream"" 1966"
"4491531140","3/10/2018 ","The political calculus is quite simple. Fetus talk costs nothing. Protecting human lives much too costly.       "", ""Don't ban high capacity magazine assault rifles that shred organs. Focus on bump stock.       "", "" Shame that GOP fights for a fetus, but doesn't care about actual living human life       ""
)"
"4542523590","3/10/2018 ","Most anti-gun people -- even those calling for ""just common sense"" controls -- don't know a damn thing about firearms or gun violence. Here are just a few examples. VIDEO:"
"46330549","3/10/2018 ","Rose Twitter knows Bernie duped ignorant kids out of $27 to pad his pockets, votes against  votes against  & that Russian bots lead their sexist & racist ""revolution"" against actual leftist dem women & POC fighting Trump but they double down. Cool."
"4650587183","3/10/2018 ","          The  works for the people. Keep pushing  and you'll flush away your "", ""  lol. MoveOn supporting a candidate who's pro-life and anti-. You're just a Dem puppet group."")"
"466992330","3/10/2018 ","We have a wave if high schoolers who will be highly motivated to vote in their first presidential over . Senator  can win this cohort based on his junkyard dog fight since Sandy Hook and get"
"4827273090","3/10/2018 ","AB 3 is absurd. Completely restricts second amendment rights to those who are 18-20 years of age. 100% unconstitutional. They aren't trying to take away your guns? Well, here is a perfect example of just that."
"485107834","3/10/2018 ","Congratulations to Florida for having a small shred of common sense this week."
"4890757095","3/10/2018 ","The only people ??not allowed?? in the gun ??debate??... are actual gun owners!"
"489955845","3/10/2018 ","Supporter  to Fund  Rally"
"49352200","3/10/2018 ","Exactly. These PREVENTABLE tragedies can happy ANYWHERE. Stopping the source is the ONLY answer."
"495382516","3/10/2018 ","           "", ""Reagan telling it like it is...               ~never  ~won??t work  ~join the  "")"
"50049805","3/10/2018 ","A 72 hour grace period after buying a firearm will not prevent ""mass shootings"". These things have been shown time and again that they're planned out. These are seldom spur of the moment actions. Criminals will find a way to commit crimes. They are criminals."
"505065513","3/10/2018 ","Probably just a precaution until Britain gets proper"
"506694691","3/10/2018 ","Least they are allowing the teachers to have guns."
"511081531","3/10/2018 ","I like how they??ve sneakily tried to mix  into top Dem voter priorities like  & . Umm nope..."
"51261531","3/10/2018 ","Are you seriously playing the ??Thanks Obama?? card for the shooting? Give us a break. People aren??t that stupid."
"51932042","3/10/2018 ","You Suck"
"520392463","3/10/2018 "," to   w  Chad & Rich Icy on  or              8x"", "" to   w  Chad & Rich Icy on  or              2x"", "" to   w  Chad & Rich Icy on  or              1x""
)"
"525954482","3/10/2018 ","legislation is just another example of The Left attempting to upend an entire system, and reduce the freedoms of the many because of the BAD actions of a few."
"530872862","3/10/2018 ","I??m for   .... its summed up nicely in the  to our"
